K,Validation_Fold,Training_Folds,Training_Samples,Validation_Samples,Correct_Predictions,Total_Predictions,Accuracy,Accuracy_Percent
1,1,2+3+4+5,800,200,177,200,0.885,88.5
3,1,2+3+4+5,800,200,173,200,0.865,86.5
5,1,2+3+4+5,800,200,179,200,0.895,89.5
7,1,2+3+4+5,800,200,174,200,0.87,87.0
9,1,2+3+4+5,800,200,177,200,0.885,88.5
11,1,2+3+4+5,800,200,176,200,0.88,88.0
13,1,2+3+4+5,800,200,178,200,0.89,89.0
1,2,1+3+4+5,800,200,173,200,0.865,86.5
3,2,1+3+4+5,800,200,172,200,0.86,86.0
5,2,1+3+4+5,800,200,175,200,0.875,87.5
7,2,1+3+4+5,800,200,177,200,0.885,88.5
9,2,1+3+4+5,800,200,174,200,0.87,87.0
11,2,1+3+4+5,800,200,175,200,0.875,87.5
13,2,1+3+4+5,800,200,175,200,0.875,87.5
1,3,1+2+4+5,800,200,175,200,0.875,87.5
3,3,1+2+4+5,800,200,179,200,0.895,89.5
5,3,1+2+4+5,800,200,175,200,0.875,87.5
7,3,1+2+4+5,800,200,169,200,0.845,84.5
9,3,1+2+4+5,800,200,168,200,0.84,84.0
11,3,1+2+4+5,800,200,165,200,0.825,82.5
13,3,1+2+4+5,800,200,164,200,0.82,82.0
1,4,1+2+3+5,800,200,177,200,0.885,88.5
3,4,1+2+3+5,800,200,182,200,0.91,91.0
5,4,1+2+3+5,800,200,182,200,0.91,91.0
7,4,1+2+3+5,800,200,187,200,0.935,93.5
9,4,1+2+3+5,800,200,186,200,0.93,93.0
11,4,1+2+3+5,800,200,182,200,0.91,91.0
13,4,1+2+3+5,800,200,182,200,0.91,91.0
1,5,1+2+3+4,800,200,179,200,0.895,89.5
3,5,1+2+3+4,800,200,174,200,0.87,87.0
5,5,1+2+3+4,800,200,175,200,0.875,87.5
7,5,1+2+3+4,800,200,176,200,0.88,88.0
9,5,1+2+3+4,800,200,174,200,0.87,87.0
11,5,1+2+3+4,800,200,173,200,0.865,86.5
13,5,1+2+3+4,800,200,173,200,0.865,86.5
