K,Validation_Fold,Training_Folds,Training_Samples,Validation_Samples,TN,FP,FN,TP,Recall_Normal,Recall_Normal_Percent,Recall_Abnormal,Recall_Abnormal_Percent,Correct_Predictions,Total_Predictions,Accuracy,Accuracy_Percent
1,1,2+3+4+5,800,200,27,1,6,166,0.964285714,96.42857143,0.965116279,96.51162791,193,200,0.965,96.5
1,2,1+3+4+5,800,200,37,1,4,158,0.973684211,97.36842105,0.975308642,97.5308642,195,200,0.975,97.5
1,3,1+2+4+5,800,200,34,1,3,162,0.971428571,97.14285714,0.981818182,98.18181818,196,200,0.98,98
1,4,1+2+3+5,800,200,24,1,2,173,0.96,96,0.988571429,98.85714286,197,200,0.985,98.5
1,5,1+2+3+4,800,200,31,3,0,166,0.911764706,91.17647059,1,100,197,200,0.985,98.5
3,1,2+3+4+5,800,200,26,2,5,167,0.928571429,92.85714286,0.970930233,97.09302326,193,200,0.965,96.5
3,2,1+3+4+5,800,200,37,1,2,160,0.973684211,97.36842105,0.987654321,98.7654321,197,200,0.985,98.5
3,3,1+2+4+5,800,200,34,1,4,161,0.971428571,97.14285714,0.975757576,97.57575758,195,200,0.975,97.5
3,4,1+2+3+5,800,200,25,0,0,175,1,100,1,100,200,200,1,100
3,5,1+2+3+4,800,200,32,2,2,164,0.941176471,94.11764706,0.987951807,98.79518072,196,200,0.98,98
5,1,2+3+4+5,800,200,27,1,3,169,0.964285714,96.42857143,0.98255814,98.25581395,196,200,0.98,98
5,2,1+3+4+5,800,200,37,1,2,160,0.973684211,97.36842105,0.987654321,98.7654321,197,200,0.985,98.5
5,3,1+2+4+5,800,200,34,1,4,161,0.971428571,97.14285714,0.975757576,97.57575758,195,200,0.975,97.5
5,4,1+2+3+5,800,200,25,0,3,172,1,100,0.982857143,98.28571429,197,200,0.985,98.5
5,5,1+2+3+4,800,200,32,2,2,164,0.941176471,94.11764706,0.987951807,98.79518072,196,200,0.98,98
7,1,2+3+4+5,800,200,27,1,5,167,0.964285714,96.42857143,0.970930233,97.09302326,194,200,0.97,97
7,2,1+3+4+5,800,200,37,1,3,159,0.973684211,97.36842105,0.981481481,98.14814815,196,200,0.98,98
7,3,1+2+4+5,800,200,34,1,4,161,0.971428571,97.14285714,0.975757576,97.57575758,195,200,0.975,97.5
7,4,1+2+3+5,800,200,25,0,1,174,1,100,0.994285714,99.42857143,199,200,0.995,99.5
7,5,1+2+3+4,800,200,32,2,3,163,0.941176471,94.11764706,0.981927711,98.19277108,195,200,0.975,97.5
9,1,2+3+4+5,800,200,27,1,5,167,0.964285714,96.42857143,0.970930233,97.09302326,194,200,0.97,97
9,2,1+3+4+5,800,200,37,1,3,159,0.973684211,97.36842105,0.981481481,98.14814815,196,200,0.98,98
9,3,1+2+4+5,800,200,34,1,3,162,0.971428571,97.14285714,0.981818182,98.18181818,196,200,0.98,98
9,4,1+2+3+5,800,200,25,0,2,173,1,100,0.988571429,98.85714286,198,200,0.99,99
9,5,1+2+3+4,800,200,32,2,3,163,0.941176471,94.11764706,0.981927711,98.19277108,195,200,0.975,97.5
11,1,2+3+4+5,800,200,27,1,6,166,0.964285714,96.42857143,0.965116279,96.51162791,193,200,0.965,96.5
11,2,1+3+4+5,800,200,37,1,3,159,0.973684211,97.36842105,0.981481481,98.14814815,196,200,0.98,98
11,3,1+2+4+5,800,200,34,1,3,162,0.971428571,97.14285714,0.981818182,98.18181818,196,200,0.98,98
11,4,1+2+3+5,800,200,25,0,3,172,1,100,0.982857143,98.28571429,197,200,0.985,98.5
11,5,1+2+3+4,800,200,32,2,3,163,0.941176471,94.11764706,0.981927711,98.19277108,195,200,0.975,97.5
13,1,2+3+4+5,800,200,28,0,6,166,1,100,0.965116279,96.51162791,194,200,0.97,97
13,2,1+3+4+5,800,200,37,1,2,160,0.973684211,97.36842105,0.987654321,98.7654321,197,200,0.985,98.5
13,3,1+2+4+5,800,200,34,1,3,162,0.971428571,97.14285714,0.981818182,98.18181818,196,200,0.98,98
13,4,1+2+3+5,800,200,25,0,3,172,1,100,0.982857143,98.28571429,197,200,0.985,98.5
13,5,1+2+3+4,800,200,32,2,3,163,0.941176471,94.11764706,0.981927711,98.19277108,195,200,0.975,97.5
