K,Fold1_Accuracy,Fold2_Accuracy,Fold3_Accuracy,Fold4_Accuracy,Fold5_Accuracy,Average_Accuracy,Minimum_Accuracy,Maximum_Accuracy,Std_Accuracy
1,96.5,97.5,98,98.5,98.5,97.8,96.5,98.5,0.836660027
3,96.5,98.5,97.5,100,98,98.1,96.5,100,1.294217911
5,98,98.5,97.5,98.5,98,98.1,97.5,98.5,0.418330013
7,97,98,97.5,99.5,97.5,97.9,97,99.5,0.961769203
9,97,98,98,99,97.5,97.9,97,99,0.741619849
11,96.5,98,98,98.5,97.5,97.7,96.5,98.5,0.758287544
13,97,98.5,98,98.5,97.5,97.9,97,98.5,0.651920241
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
K,Average Accurancy,,,,,,,,
1,97.8,,,,,,,,
3,98.1,,,,,,,,
5,98.1,,,,,,,,
7,97.9,,,,,,,,
9,97.9,,,,,,,,
11,97.7,,,,,,,,
13,97.9,,,,,,,,
